period,age_group,pathogen,environment,n_months,rho,p_value,q_period,q_age_panel,low_n,status
2019,<1,FluA,windlevel,10,-0.2526318345396,0.4813083005379245,0.7682855501544334,0.6986733394905356,False,computed_exploratory
2019,<1,FluA,temp,10,-0.6213377552190162,0.0551751825511052,0.3291151239890487,0.4138138691332891,False,computed_exploratory
2019,<1,FluA,humi,10,0.1160740861398162,0.7494813765116057,0.9211427661583907,0.8560477051813463,False,computed_exploratory
2019,<1,FluA,PM2.5,10,0.6691329671589404,0.0343483204594707,0.2715913710748846,0.3963334302751772,False,computed_exploratory
2019,<1,FluA,PM10,10,0.2321481722796324,0.5186703153956451,0.8096258519316172,0.7165082166348289,False,computed_exploratory
2019,<1,FluA,NO2,10,0.6349935300589945,0.048545962175274,0.3114269271621352,0.3971942359795147,False,computed_exploratory
2019,<1,FluA,SO2,10,0.3618780332594269,0.3041660258875216,0.6550787393344795,0.5542102137276133,False,computed_exploratory
2019,<1,FluA,O3,10,-0.0068278874199891,0.9850646925664868,1.0,0.9867429111949892,False,computed_exploratory
2019,<1,FluA,CO,10,0.7305839539388431,0.0164023337843536,0.2244849387741673,0.3690525101479576,False,computed_exploratory
2019,<1,FluA,AQI,10,0.2458039471196108,0.4936304586565219,0.784272691323446,0.705186369509317,False,computed_exploratory
2019,<1,FluB,windlevel,10,-0.6008540929590486,0.066199404731851,0.3670504218751866,0.4468863243312546,False,computed_exploratory
2019,<1,FluB,temp,10,-0.2116645100196648,0.5571761964198673,0.8280252908267199,0.7267515605476529,False,computed_exploratory
2019,<1,FluB,humi,10,0.5940262055390594,0.0701714041820209,0.3670504218751866,0.4468863243312546,False,computed_exploratory
2019,<1,FluB,PM2.5,10,0.1024183112998378,0.7782952608348457,0.9211427661583907,0.8654768529253354,False,computed_exploratory
2019,<1,FluB,PM10,10,-0.3755338080994053,0.2848960438367607,0.6550787393344795,0.5542102137276133,False,computed_exploratory
2019,<1,FluB,NO2,10,0.2867712716395459,0.4217809078315286,0.7388096310406082,0.6659698544708347,False,computed_exploratory
2019,<1,FluB,SO2,10,-0.075106761619881,0.8366276244944908,0.9357019484477858,0.8654768529253354,False,computed_exploratory
2019,<1,FluB,O3,10,-0.6623050797389513,0.036926982854065,0.2778271385712868,0.3963334302751772,False,computed_exploratory
2019,<1,FluB,CO,10,0.1297298609797945,0.7209439339888961,0.9211427661583907,0.8560477051813463,False,computed_exploratory
2019,<1,FluB,AQI,10,-0.5257473313391675,0.1185680412571404,0.4687573724119506,0.4542832350490944,False,computed_exploratory
2019,<1,RSV,windlevel,10,0.3575757575757575,0.3103760917056799,0.6550787393344795,0.5542102137276133,False,computed_exploratory
2019,<1,RSV,temp,10,-0.4303030303030302,0.2144923325328077,0.5609799466242664,0.4949823058449409,False,computed_exploratory
2019,<1,RSV,humi,10,-0.4909090909090908,0.1496556734208367,0.4693828677430339,0.4542832350490944,False,computed_exploratory
