phase,panel_signature,panel_size,targets,start_month,end_month,n_events,pathogen,n_test,rare_signature_merged,suppressed,note
Phase I,FluA|FluB|RSV|ADV|PIV1|PIV2|PIV3,7,FluA|FluB|RSV|ADV|PIV1|PIV2|PIV3,2013-01,2018-08,16992.0,FluA,16992.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase I,FluA|FluB|RSV|ADV|PIV1|PIV2|PIV3,7,FluA|FluB|RSV|ADV|PIV1|PIV2|PIV3,2013-01,2018-08,16992.0,FluB,16992.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase I,FluA|FluB|RSV|ADV|PIV1|PIV2|PIV3,7,FluA|FluB|RSV|ADV|PIV1|PIV2|PIV3,2013-01,2018-08,16992.0,RSV,16992.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase I,FluA|FluB|RSV|ADV|PIV1|PIV2|PIV3,7,FluA|FluB|RSV|ADV|PIV1|PIV2|PIV3,2013-01,2018-08,16992.0,ADV,16992.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase I,FluA|FluB|RSV|ADV|PIV1|PIV2|PIV3,7,FluA|FluB|RSV|ADV|PIV1|PIV2|PIV3,2013-01,2018-08,16992.0,PIV1,16992.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase I,FluA|FluB|RSV|ADV|PIV1|PIV2|PIV3,7,FluA|FluB|RSV|ADV|PIV1|PIV2|PIV3,2013-01,2018-08,16992.0,PIV2,16992.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase I,FluA|FluB|RSV|ADV|PIV1|PIV2|PIV3,7,FluA|FluB|RSV|ADV|PIV1|PIV2|PIV3,2013-01,2018-08,16992.0,PIV3,16992.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase I,Other rare signatures (each n<20; size 6),6,Mixed,2014-04,2014-04,,FluA,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase I,Other rare signatures (each n<20; size 6),6,Mixed,2014-04,2014-04,,FluB,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase I,Other rare signatures (each n<20; size 6),6,Mixed,2014-04,2014-04,,RSV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase I,Other rare signatures (each n<20; size 6),6,Mixed,2014-04,2014-04,,ADV,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase I,Other rare signatures (each n<20; size 6),6,Mixed,2014-04,2014-04,,PIV1,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase I,Other rare signatures (each n<20; size 6),6,Mixed,2014-04,2014-04,,PIV2,,True,True,Coverage/denominator only; each rare signature had fewer than 20 events and was aggregated within panel size; positivity is reported in S1A.
Phase II,ADV|HRV|MP,3,ADV|HRV|MP,2023-03,2025-11,4815.0,ADV,4815.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,ADV|HRV|MP,3,ADV|HRV|MP,2023-03,2025-11,4815.0,HRV,4815.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,ADV|HRV|MP,3,ADV|HRV|MP,2023-03,2025-11,4815.0,MP,4815.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB,2,FluA|FluB,2024-04,2025-09,49.0,FluA,49.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB,2,FluA|FluB,2024-04,2025-09,49.0,FluB,49.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|ADV|MP,4,FluA|FluB|ADV|MP,2024-04,2025-06,22.0,FluA,22.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|ADV|MP,4,FluA|FluB|ADV|MP,2024-04,2025-06,22.0,FluB,22.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|ADV|MP,4,FluA|FluB|ADV|MP,2024-04,2025-06,22.0,ADV,22.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|ADV|MP,4,FluA|FluB|ADV|MP,2024-04,2025-06,22.0,MP,22.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|MP,3,FluA|FluB|MP,2024-05,2025-07,22.0,FluA,22.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|MP,3,FluA|FluB|MP,2024-05,2025-07,22.0,FluB,22.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|MP,3,FluA|FluB|MP,2024-05,2025-07,22.0,MP,22.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV,3,FluA|FluB|RSV,2023-03,2025-11,3777.0,FluA,3777.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV,3,FluA|FluB|RSV,2023-03,2025-11,3777.0,FluB,3777.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV,3,FluA|FluB|RSV,2023-03,2025-11,3777.0,RSV,3777.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|HRV|MP,6,FluA|FluB|RSV|ADV|HRV|MP,2022-12,2025-11,32150.0,FluA,32150.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|HRV|MP,6,FluA|FluB|RSV|ADV|HRV|MP,2022-12,2025-11,32150.0,FluB,32150.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|HRV|MP,6,FluA|FluB|RSV|ADV|HRV|MP,2022-12,2025-11,32150.0,RSV,32150.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|HRV|MP,6,FluA|FluB|RSV|ADV|HRV|MP,2022-12,2025-11,32150.0,ADV,32150.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|HRV|MP,6,FluA|FluB|RSV|ADV|HRV|MP,2022-12,2025-11,32150.0,HRV,32150.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|HRV|MP,6,FluA|FluB|RSV|ADV|HRV|MP,2022-12,2025-11,32150.0,MP,32150.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,9,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,2019-02,2025-11,28568.0,FluA,28568.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,9,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,2019-02,2025-11,28568.0,FluB,28568.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,9,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,2019-02,2025-11,28568.0,RSV,28568.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,9,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,2019-02,2025-11,28568.0,ADV,28568.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,9,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,2019-02,2025-11,28568.0,PIV,28568.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,9,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,2019-02,2025-11,28568.0,HRV,28568.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,9,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,2019-02,2025-11,28568.0,MP,28568.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,9,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,2019-02,2025-11,28568.0,HMPV,28568.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,9,FluA|FluB|RSV|ADV|PIV|HRV|MP|HMPV|HBOV,2019-02,2025-11,28568.0,HBOV,28568.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|PIV|MP,6,FluA|FluB|RSV|ADV|PIV|MP,2024-04,2025-09,295.0,FluA,295.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
Phase II,FluA|FluB|RSV|ADV|PIV|MP,6,FluA|FluB|RSV|ADV|PIV|MP,2024-04,2025-09,295.0,FluB,295.0,False,False,Coverage/denominator only; positivity is reported in S1A; ordering criteria require author confirmation.
