phase,window,pathogen,n_test,n_pos,rate_pct,ci95_low_pct,ci95_high_pct
Phase I,2013–2017 complete calendar years,FluA,13800,68,0.4927536231884057,0.3889084980912833,0.6241534038283091
Phase I,2013–2017 complete calendar years,FluB,13800,23,0.1666666666666666,0.1110887536531038,0.24998072812398
Phase I,2013–2017 complete calendar years,RSV,13800,722,5.231884057971015,4.872676891334015,5.61600818332337
Phase I,2013–2017 complete calendar years,ADV,13800,78,0.5652173913043479,0.4531582623770013,0.7047908440187043
Phase I,2013–2017 complete calendar years,PIV,13800,61,0.4420289855072463,0.3442990653900553,0.5673417933962579
Phase II,2020–2024 complete calendar years,FluA,42010,5770,13.734825041656748,13.408983763254806,14.067298000066542
Phase II,2020–2024 complete calendar years,FluB,42006,2306,5.489691948769224,5.2759098524566825,5.711614257448088
Phase II,2020–2024 complete calendar years,RSV,41960,2120,5.052430886558628,4.846947891047493,5.266143073194176
Phase II,2020–2024 complete calendar years,ADV,43414,2398,5.523563827336804,5.312588151073365,5.74240974276036
Phase II,2020–2024 complete calendar years,PIV,23495,582,2.477122792083422,2.2860150542039555,2.683768076880257
Phase II,2020–2024 complete calendar years,HRV,43223,5603,12.963005807093444,12.649632529108818,13.282961850935248
Phase II,2020–2024 complete calendar years,MP,43401,6911,15.923596230501602,15.582378450729498,16.270845738414543
Phase II,2020–2024 complete calendar years,HMPV,23335,401,1.718448682236983,1.55947669967685,1.893314477822384
Phase II,2020–2024 complete calendar years,HBOV,23335,181,0.7756588815084637,0.6709177993486719,0.8966041338466362
