phase,age_group,pathogen,n_test,n_pos,rate_pct,ci95_low_pct,ci95_high_pct,low_n_lt20,suppressed
Phase I,<1,FluA,5823.0,32.0,0.5495449081229606,0.389549207872708,0.7747429613950085,False,False
Phase I,<1,FluB,,,,,,False,True
Phase I,<1,RSV,5823.0,620.0,10.647432594882362,9.880984030443528,11.465769053729757,False,False
Phase I,<1,ADV,5823.0,25.0,0.429331959471063,0.2909830451374338,0.6330417322861689,False,False
Phase I,<1,PIV1,,,,,,False,True
Phase I,<1,PIV2,,,,,,False,True
Phase I,<1,PIV3,5822.0,27.0,0.4637581587083476,0.3189264612376148,0.6739165337106682,False,False
Phase I,<1,PIV,5823.0,35.0,0.6010647432594882,0.4325130639844339,0.8347508446450458,False,False
Phase I,1-3,FluA,3994.0,28.0,0.7010515773660491,0.4854875376944971,1.011356682795089,False,False
Phase I,1-3,FluB,,,,,,False,True
Phase I,1-3,RSV,3994.0,158.0,3.9559339008512766,3.39433923933102,4.6060145044375655,False,False
Phase I,1-3,ADV,3994.0,33.0,0.8262393590385578,0.588939829786159,1.158039372368004,False,False
Phase I,1-3,PIV1,,,,,,False,True
Phase I,1-3,PIV2,,,,,,False,True
Phase I,1-3,PIV3,,,,,,False,True
Phase I,1-3,PIV,3994.0,24.0,0.6009013520280421,0.4041433459429181,0.8925928892150067,False,False
Phase I,4-12,FluA,,,,,,False,True
Phase I,4-12,FluB,,,,,,False,True
Phase I,4-12,RSV,,,,,,False,True
Phase I,4-12,ADV,2435.0,20.0,0.8213552361396305,0.532332993687897,1.265301643944257,False,False
Phase I,4-12,PIV1,,,,,,False,True
Phase I,4-12,PIV2,,,,,,False,True
Phase I,4-12,PIV3,,,,,,False,True
Phase I,4-12,PIV,,,,,,False,True
Phase I,13-17,FluA,,,,,,False,True
Phase I,13-17,FluB,,,,,,False,True
Phase I,13-17,RSV,,,,,,False,True
Phase I,13-17,ADV,,,,,,False,True
Phase I,13-17,PIV1,,,,,,False,True
Phase I,13-17,PIV2,,,,,,False,True
Phase I,13-17,PIV3,,,,,,False,True
Phase I,13-17,PIV,,,,,,False,True
Phase I,18-44,FluA,,,,,,False,True
Phase I,18-44,FluB,,,,,,False,True
Phase I,18-44,RSV,,,,,,False,True
Phase I,18-44,ADV,,,,,,False,True
Phase I,18-44,PIV1,,,,,,False,True
Phase I,18-44,PIV2,,,,,,False,True
Phase I,18-44,PIV3,,,,,,False,True
Phase I,18-44,PIV,,,,,,False,True
Phase I,45-59,FluA,,,,,,False,True
Phase I,45-59,FluB,,,,,,False,True
Phase I,45-59,RSV,,,,,,False,True
Phase I,45-59,ADV,,,,,,False,True
Phase I,45-59,PIV1,,,,,,False,True
Phase I,45-59,PIV2,,,,,,False,True
Phase I,45-59,PIV3,,,,,,False,True
Phase I,45-59,PIV,,,,,,False,True
Phase I,60-74,FluA,,,,,,False,True
Phase I,60-74,FluB,,,,,,False,True
Phase I,60-74,RSV,,,,,,False,True
Phase I,60-74,ADV,,,,,,False,True
Phase I,60-74,PIV1,,,,,,False,True
Phase I,60-74,PIV2,,,,,,False,True
Phase I,60-74,PIV3,,,,,,False,True
Phase I,60-74,PIV,,,,,,False,True
Phase I,75-89,FluA,,,,,,False,True
Phase I,75-89,FluB,,,,,,False,True
Phase I,75-89,RSV,,,,,,False,True
Phase I,75-89,ADV,,,,,,False,True
Phase I,75-89,PIV1,,,,,,False,True
Phase I,75-89,PIV2,,,,,,False,True
Phase I,75-89,PIV3,,,,,,False,True
Phase I,75-89,PIV,,,,,,False,True
Phase I,>=90,FluA,,,,,,False,True
Phase I,>=90,FluB,,,,,,False,True
Phase I,>=90,RSV,,,,,,False,True
Phase I,>=90,ADV,,,,,,False,True
Phase I,>=90,PIV1,,,,,,False,True
Phase I,>=90,PIV2,,,,,,False,True
Phase I,>=90,PIV3,,,,,,False,True
Phase I,>=90,PIV,,,,,,False,True
Phase II,<1,FluA,4622.0,159.0,3.440069234097793,2.9521007460046267,4.005367677540178,False,False
Phase II,<1,FluB,4622.0,42.0,0.9086975335352662,0.6729910893571344,1.2259382103748175,False,False
Phase II,<1,RSV,4622.0,1092.0,23.62613587191692,22.42372889469423,24.872346387973582,False,False
Phase II,<1,ADV,4689.0,167.0,3.561526978033696,3.0679384887284966,4.13114253255095,False,False
Phase II,<1,PIV,2746.0,224.0,8.157319737800437,7.191069839728118,9.240475963442377,False,False
Phase II,<1,HRV,4686.0,1012.0,21.5962441314554,20.44160192846369,22.79741748458517,False,False
Phase II,<1,MP,4690.0,166.0,3.539445628997868,3.047504279398185,4.107433989545237,False,False
Phase II,<1,HMPV,2742.0,76.0,2.7716994894237783,2.220211468430142,3.4553332109639165,False,False
Phase II,<1,HBOV,2743.0,51.0,1.859278162595698,1.4169773773388696,2.4362285833042034,False,False
Phase II,1-3,FluA,9800.0,709.0,7.2346938775510194,6.7383713128309095,7.764530073252168,False,False
Phase II,1-3,FluB,9800.0,198.0,2.020408163265306,1.7600665299482663,2.318349675578492,False,False
Phase II,1-3,RSV,9801.0,1895.0,19.33476175900418,18.564983267112183,20.128569043289065,False,False
Phase II,1-3,ADV,10707.0,1157.0,10.806014756701224,10.231958506413624,11.40818496627202,False,False
Phase II,1-3,PIV,3208.0,270.0,8.41645885286783,7.504744891336065,9.427643141925666,False,False
Phase II,1-3,HRV,10704.0,2876.0,26.86846038863976,26.037120871949178,27.71639687442407,False,False
Phase II,1-3,MP,10705.0,1268.0,11.84493227463802,11.246444535047662,12.47079386639182,False,False
Phase II,1-3,HMPV,3202.0,157.0,4.903185509056839,4.207793456725583,5.706653745464376,False,False
Phase II,1-3,HBOV,3204.0,182.0,5.68039950062422,4.930717625584528,6.536228716455844,False,False
Phase II,4-12,FluA,15501.0,3776.0,24.359718727824013,23.690383147475007,25.041759511888863,False,False
Phase II,4-12,FluB,15501.0,1665.0,10.74124250048384,10.263492820261796,11.238445575400249,False,False
Phase II,4-12,RSV,15501.0,596.0,3.8449132314044254,3.553480400354715,4.159216707814556,False,False
Phase II,4-12,ADV,18439.0,2123.0,11.513639568306306,11.060928106464765,11.982383675560635,False,False
Phase II,4-12,PIV,2771.0,118.0,4.258390472753519,3.567770131849388,5.075659137173665,False,False
Phase II,4-12,HRV,18424.0,4021.0,21.824793747286147,21.234261815403297,22.42707245860881,False,False
Phase II,4-12,MP,18438.0,5825.0,31.592363596919405,30.92523829743083,32.26715756413692,False,False
Phase II,4-12,HMPV,2758.0,78.0,2.8281363306744014,2.272019030497976,3.5154767835791434,False,False
Phase II,4-12,HBOV,2758.0,20.0,0.7251631617113851,0.4699264838515298,1.1174730636740702,False,False
Phase II,13-17,FluA,1687.0,552.0,32.720806164789565,30.5233209239492,34.99680534462343,False,False
Phase II,13-17,FluB,1687.0,235.0,13.930053349140486,12.359531785846285,15.664471076680094,False,False
Phase II,13-17,RSV,1688.0,22.0,1.3033175355450235,0.8622557462642481,1.9655186040606476,False,False
Phase II,13-17,ADV,1506.0,64.0,4.249667994687915,3.341943257764242,5.3901960043058805,False,False
Phase II,13-17,PIV,,,,,,False,True
Phase II,13-17,HRV,1502.0,174.0,11.584553928095872,10.063135552900006,13.301970830625931,False,False
Phase II,13-17,MP,1506.0,156.0,10.358565737051793,8.919073904001246,11.999775355005813,False,False
Phase II,13-17,HMPV,,,,,,False,True
Phase II,13-17,HBOV,,,,,,False,True
Phase II,18-44,FluA,5764.0,847.0,14.69465648854962,13.80415592929068,15.63218470077648,False,False
Phase II,18-44,FluB,5762.0,247.0,4.286706004859424,3.7934408218813545,4.840883628005952,False,False
Phase II,18-44,RSV,5747.0,49.0,0.8526187576126675,0.6455617128398743,1.1253349385447458,False,False
Phase II,18-44,ADV,4725.0,90.0,1.9047619047619049,1.552281299345838,2.335382527441486,False,False
Phase II,18-44,PIV,,,,,,False,True
Phase II,18-44,HRV,4636.0,359.0,7.74374460742019,7.00885724836078,8.548602316306418,False,False
Phase II,18-44,MP,4726.0,209.0,4.422344477359289,3.872285537150462,5.046437479114722,False,False
Phase II,18-44,HMPV,2359.0,28.0,1.1869436201780417,0.822480529009759,1.710125228236489,False,False
Phase II,18-44,HBOV,,,,,,False,True
Phase II,45-59,FluA,5551.0,473.0,8.5209872095118,7.814905915656981,9.284438248565989,False,False
Phase II,45-59,FluB,5551.0,68.0,1.2250045036930284,0.967504187754675,1.5499656600775402,False,False
Phase II,45-59,RSV,5526.0,52.0,0.9410061527325372,0.7183453384483616,1.2318273676547289,False,False
Phase II,45-59,ADV,5003.0,75.0,1.4991005396761945,1.1976713783038229,1.8749535507253816,False,False
Phase II,45-59,PIV,2803.0,39.0,1.3913663931501965,1.0194869094376164,1.8962979690955708,False,False
Phase II,45-59,HRV,4921.0,283.0,5.750863645600488,5.134247977659445,6.436509448451662,False,False
Phase II,45-59,MP,5001.0,64.0,1.279744051189762,1.0035026098159971,1.6307758164932418,False,False
Phase II,45-59,HMPV,2731.0,37.0,1.3548150860490664,0.9845177629377114,1.8617700381204372,False,False
Phase II,45-59,HBOV,,,,,,False,True
Phase II,60-74,FluA,8601.0,668.0,7.766538774561098,7.219576158233614,8.351209953662062,False,False
Phase II,60-74,FluB,8599.0,73.0,0.8489359227817189,0.6757739819684818,1.0659930788095378,False,False
Phase II,60-74,RSV,8568.0,144.0,1.680672268907563,1.4293390859599415,1.975313930812553,False,False
Phase II,60-74,ADV,7808.0,85.0,1.0886270491803278,0.8813162863937274,1.3440419692375627,False,False
Phase II,60-74,PIV,4402.0,63.0,1.4311676510676965,1.1202570192991006,1.82677273731517,False,False
Phase II,60-74,HRV,7717.0,489.0,6.336659323571336,5.8145357464934255,6.902231772401644,False,False
Phase II,60-74,MP,7807.0,62.0,0.7941590879979507,0.6200333572412955,1.0166847799105505,False,False
Phase II,60-74,HMPV,4330.0,52.0,1.2009237875288683,0.9170075927062048,1.571349672906356,False,False
Phase II,60-74,HBOV,,,,,,False,True
Phase II,75-89,FluA,7369.0,353.0,4.790337902021984,4.325847517461445,5.301939310525431,False,False
Phase II,75-89,FluB,,,,,,False,True
Phase II,75-89,RSV,7356.0,76.0,1.0331702011963024,0.8263015133921069,1.291155223857576,False,False
Phase II,75-89,ADV,7045.0,46.0,0.6529453513129879,0.4899043570508928,0.8697723980669456,False,False
Phase II,75-89,PIV,5069.0,52.0,1.0258433616097848,0.7831770060968659,1.3426820355488884,False,False
Phase II,75-89,HRV,6990.0,298.0,4.263233190271817,3.814211477336045,4.762497936975439,False,False
Phase II,75-89,MP,7049.0,38.0,0.5390835579514826,0.3930215119358959,0.7390251856520637,False,False
Phase II,75-89,HMPV,5019.0,43.0,0.8567443713887228,0.6366958238596069,1.151962240649319,False,False
Phase II,75-89,HBOV,,,,,,False,True
Phase II,>=90,FluA,6037.0,96.0,1.5901938048699684,1.3040203071938548,1.9379363002706744,False,False
Phase II,>=90,FluB,,,,,,False,True
Phase II,>=90,RSV,6035.0,51.0,0.8450704225352111,0.6433573514087539,1.1093208658028562,False,False
Phase II,>=90,ADV,5986.0,25.0,0.417641162712997,0.2830551949657711,0.6158243361678404,False,False
Phase II,>=90,PIV,5088.0,30.0,0.589622641509434,0.4133335410853813,0.8404654889315559,False,False
Phase II,>=90,HRV,5980.0,175.0,2.9264214046822743,2.528525102880186,3.384757547667007,False,False
Phase II,>=90,MP,5986.0,25.0,0.417641162712997,0.2830551949657711,0.6158243361678404,False,False
Phase II,>=90,HMPV,,,,,,False,True
Phase II,>=90,HBOV,,,,,,False,True
