pathogen_a,pathogen_b,joint_tested,both_positive,rate_pct,expected_count,observed_expected_ratio,suppressed
FluA,FluB,64928.0,2181.0,3.359105470675209,302.1701115081321,7.217788645986928,False
FluA,RSV,64832.0,59.0,0.0910044422507403,466.28015486179663,0.1265333713751711,False
FluA,ADV,61079.0,331.0,0.5419211185513843,361.9547471307651,0.9144789580019462,False
FluA,PIV,,,,,,True
FluA,HRV,60737.0,626.0,1.030673230485536,921.7481765645324,0.679144278140238,False
FluA,MP,61078.0,733.0,1.200104784046629,661.9484593470644,1.1073369680821068,False
FluA,HMPV,,,,,,True
FluA,HBOV,,,,,,True
FluB,RSV,64831.0,23.0,0.0354768552081566,157.6363930835557,0.1459053937361328,False
FluB,ADV,61078.0,128.0,0.2095680932578015,131.5726775598415,0.9728463566592952,False
FluB,PIV,,,,,,True
FluB,HRV,60736.0,217.0,0.3572839831401475,337.084529768177,0.6437554406582744,False
FluB,MP,61077.0,340.0,0.5566743618710808,240.58604712084744,1.413215787319605,False
FluB,HMPV,,,,,,True
FluB,HBOV,,,,,,True
RSV,ADV,61062.0,166.0,0.2718548360682585,210.67839245357175,0.7879308270143661,False
RSV,PIV,28886.0,29.0,0.1003946548501003,39.48047497057398,0.7345403017976505,False
RSV,HRV,60736.0,509.0,0.8380532139093783,538.4723557692307,0.9452667245524088,False
RSV,MP,61041.0,150.0,0.245736472207205,385.2442129060795,0.3893634089101014,False
RSV,HMPV,,,,,,True
RSV,HBOV,28584.0,27.0,0.0944584382871536,13.295689896445564,2.0307332835145404,False
ADV,PIV,28888.0,57.0,0.1973137635004154,27.711714206590973,2.056891882438766,False
ADV,HRV,65551.0,914.0,1.3943341825448887,565.227258165398,1.6170486946553866,False
ADV,MP,65878.0,825.0,1.252314885090622,454.172257809891,1.8164913990526723,False
ADV,HMPV,,,,,,True
ADV,HBOV,,,,,,True
PIV,HRV,28586.0,106.0,0.3708108864479116,83.91044567270691,1.2632515433591367,False
PIV,MP,28880.0,35.0,0.121191135734072,31.58521468144044,1.1081134117022828,False
PIV,HMPV,,,,,,True
PIV,HBOV,,,,,,True
HRV,MP,65546.0,1503.0,2.293046105025478,1153.4006651817044,1.3031031153109491,False
HRV,HMPV,28582.0,39.0,0.1364495136799384,50.719963613463015,0.7689279964240335,False
HRV,HBOV,28585.0,76.0,0.2658737099877558,28.20874584572328,2.69419989160994,False
MP,HMPV,,,,,,True
MP,HBOV,,,,,,True
HMPV,HBOV,,,,,,True
