table,object_name,unit_of_observation,variable,pandas_dtype,definition,unit_or_levels,missing_rule,privacy_class,source_file
S1,cohort_pathogen_summary,aggregate table row,phase,object,Diagnostic phase,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_cohort_pathogen_summary.csv
S1,cohort_pathogen_summary,aggregate table row,pathogen,object,Pathogen or pooled pathogen target,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_cohort_pathogen_summary.csv
S1,cohort_pathogen_summary,aggregate table row,n_events,float64,Number of analytic same-day laboratory testing events,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_cohort_pathogen_summary.csv
S1,cohort_pathogen_summary,aggregate table row,n_test,float64,Number of events with a reported result for the target,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_cohort_pathogen_summary.csv
S1,cohort_pathogen_summary,aggregate table row,n_pos,float64,Number of target-positive events,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_cohort_pathogen_summary.csv
S1,cohort_pathogen_summary,aggregate table row,rate_pct,float64,Positivity or pairwise co-detection rate,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_cohort_pathogen_summary.csv
S1,cohort_pathogen_summary,aggregate table row,ci95_low_pct,float64,Lower bound of the Wilson 95% confidence interval,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_cohort_pathogen_summary.csv
S1,cohort_pathogen_summary,aggregate table row,ci95_high_pct,float64,Upper bound of the Wilson 95% confidence interval,percentage points,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_cohort_pathogen_summary.csv
S1,cohort_pathogen_summary,aggregate table row,suppressed,bool,Primary or complementary disclosure-control flag,boolean,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_cohort_pathogen_summary.csv
S1,cohort_pathogen_summary,aggregate table row,note,object,Methodological note,text,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_cohort_pathogen_summary.csv
S2,demographics_summary,aggregate table row,phase,object,Diagnostic phase,category,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_demographics.csv
S2,demographics_summary,aggregate table row,n_events,int64,Number of analytic same-day laboratory testing events,events,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_demographics.csv
S2,demographics_summary,aggregate table row,age_median_years,float64,Median age,years,"NA denotes unavailable, non-estimable, or disclosure-controlled; see suppressed/status fields",public aggregate,Supplementary_Table_S1_demographics.csv
