Age_Group,rate_display_pct,virus,branch,phase
<1,0.5495449081229606,FluA,minimal_corrected,phase1
1-3,0.7010515773660491,FluA,minimal_corrected,phase1
4-12,0.6160164271047228,FluA,minimal_corrected,phase1
13-17,0.0,FluA,minimal_corrected,phase1
18-44,0.0,FluA,minimal_corrected,phase1
45-59,0.3367003367003366,FluA,minimal_corrected,phase1
60-74,0.0,FluA,minimal_corrected,phase1
75-89,0.0,FluA,minimal_corrected,phase1
>=90,0.0,FluA,minimal_corrected,phase1
<1,0.1202129486518976,FluB,minimal_corrected,phase1
1-3,0.2253380070105158,FluB,minimal_corrected,phase1
4-12,0.2053388090349076,FluB,minimal_corrected,phase1
13-17,0.0,FluB,minimal_corrected,phase1
18-44,0.2710027100271002,FluB,minimal_corrected,phase1
45-59,0.0,FluB,minimal_corrected,phase1
60-74,0.1121076233183856,FluB,minimal_corrected,phase1
75-89,0.0566251415628539,FluB,minimal_corrected,phase1
>=90,0.0,FluB,minimal_corrected,phase1
<1,10.647432594882362,RSV,minimal_corrected,phase1
1-3,3.9559339008512766,RSV,minimal_corrected,phase1
4-12,0.5338809034907598,RSV,minimal_corrected,phase1
13-17,0.0,RSV,minimal_corrected,phase1
18-44,0.1355013550135501,RSV,minimal_corrected,phase1
45-59,0.0,RSV,minimal_corrected,phase1
60-74,0.2242152466367713,RSV,minimal_corrected,phase1
75-89,0.1132502831257078,RSV,minimal_corrected,phase1
>=90,0.0,RSV,minimal_corrected,phase1
<1,0.429331959471063,ADV,minimal_corrected,phase1
1-3,0.8262393590385578,ADV,minimal_corrected,phase1
4-12,0.8213552361396305,ADV,minimal_corrected,phase1
13-17,0.5617977528089888,ADV,minimal_corrected,phase1
18-44,0.0,ADV,minimal_corrected,phase1
45-59,0.0,ADV,minimal_corrected,phase1
60-74,0.0,ADV,minimal_corrected,phase1
75-89,0.0,ADV,minimal_corrected,phase1
>=90,0.0,ADV,minimal_corrected,phase1
<1,0.0858663918942126,PIV1,minimal_corrected,phase1
1-3,0.2503755633450175,PIV1,minimal_corrected,phase1
4-12,0.082135523613963,PIV1,minimal_corrected,phase1
13-17,0.0,PIV1,minimal_corrected,phase1
18-44,0.0,PIV1,minimal_corrected,phase1
45-59,0.1683501683501683,PIV1,minimal_corrected,phase1
60-74,0.0,PIV1,minimal_corrected,phase1
75-89,0.0,PIV1,minimal_corrected,phase1
>=90,0.0,PIV1,minimal_corrected,phase1
<1,0.0515198351365275,PIV2,minimal_corrected,phase1
1-3,0.0751126690035052,PIV2,minimal_corrected,phase1
4-12,0.0,PIV2,minimal_corrected,phase1
13-17,0.0,PIV2,minimal_corrected,phase1
18-44,0.0,PIV2,minimal_corrected,phase1
45-59,0.0,PIV2,minimal_corrected,phase1
60-74,0.0,PIV2,minimal_corrected,phase1
75-89,0.0,PIV2,minimal_corrected,phase1
>=90,0.0,PIV2,minimal_corrected,phase1
<1,0.4637581587083476,PIV3,minimal_corrected,phase1
1-3,0.2754131196795193,PIV3,minimal_corrected,phase1
4-12,0.0,PIV3,minimal_corrected,phase1
13-17,0.0,PIV3,minimal_corrected,phase1
18-44,0.0,PIV3,minimal_corrected,phase1
45-59,0.0,PIV3,minimal_corrected,phase1
60-74,0.1121076233183856,PIV3,minimal_corrected,phase1
75-89,0.0,PIV3,minimal_corrected,phase1
>=90,0.0,PIV3,minimal_corrected,phase1
<1,0.6010647432594882,PIV,minimal_corrected,phase1
1-3,0.6009013520280421,PIV,minimal_corrected,phase1
4-12,0.082135523613963,PIV,minimal_corrected,phase1
13-17,0.0,PIV,minimal_corrected,phase1
18-44,0.0,PIV,minimal_corrected,phase1
45-59,0.1683501683501683,PIV,minimal_corrected,phase1
60-74,0.1121076233183856,PIV,minimal_corrected,phase1
75-89,0.0,PIV,minimal_corrected,phase1
>=90,0.0,PIV,minimal_corrected,phase1
<1,3.440069234097793,FluA,minimal_corrected,phase2
