Year,Month,Age_Group,rate_display_pct,virus,branch,phase
2019,2,<1,,FluA,minimal_corrected,phase2
2019,2,1-3,,FluA,minimal_corrected,phase2
2019,2,18-44,,FluA,minimal_corrected,phase2
2019,2,45-59,,FluA,minimal_corrected,phase2
2019,2,60-74,,FluA,minimal_corrected,phase2
2019,3,<1,8.695652173913043,FluA,minimal_corrected,phase2
2019,3,1-3,14.285714285714285,FluA,minimal_corrected,phase2
2019,3,4-12,4.0,FluA,minimal_corrected,phase2
2019,3,13-17,,FluA,minimal_corrected,phase2
2019,3,18-44,,FluA,minimal_corrected,phase2
2019,3,45-59,,FluA,minimal_corrected,phase2
2019,3,60-74,,FluA,minimal_corrected,phase2
2019,3,75-89,,FluA,minimal_corrected,phase2
2019,4,<1,1.96078431372549,FluA,minimal_corrected,phase2
2019,4,1-3,4.918032786885246,FluA,minimal_corrected,phase2
2019,4,4-12,1.694915254237288,FluA,minimal_corrected,phase2
2019,4,13-17,,FluA,minimal_corrected,phase2
2019,4,18-44,,FluA,minimal_corrected,phase2
2019,4,45-59,,FluA,minimal_corrected,phase2
2019,4,60-74,,FluA,minimal_corrected,phase2
2019,4,75-89,14.285714285714285,FluA,minimal_corrected,phase2
2019,4,>=90,,FluA,minimal_corrected,phase2
2019,5,<1,0.0,FluA,minimal_corrected,phase2
2019,5,1-3,0.0,FluA,minimal_corrected,phase2
2019,5,4-12,0.0,FluA,minimal_corrected,phase2
2019,5,13-17,,FluA,minimal_corrected,phase2
2019,5,18-44,,FluA,minimal_corrected,phase2
2019,5,45-59,,FluA,minimal_corrected,phase2
2019,5,60-74,,FluA,minimal_corrected,phase2
2019,5,75-89,,FluA,minimal_corrected,phase2
2019,5,>=90,,FluA,minimal_corrected,phase2
2019,6,<1,0.0,FluA,minimal_corrected,phase2
2019,6,1-3,0.0,FluA,minimal_corrected,phase2
2019,6,4-12,0.0,FluA,minimal_corrected,phase2
2019,6,13-17,,FluA,minimal_corrected,phase2
2019,6,18-44,,FluA,minimal_corrected,phase2
2019,6,45-59,,FluA,minimal_corrected,phase2
2019,6,60-74,,FluA,minimal_corrected,phase2
2019,6,75-89,12.903225806451612,FluA,minimal_corrected,phase2
2019,6,>=90,,FluA,minimal_corrected,phase2
2019,7,<1,0.0,FluA,minimal_corrected,phase2
2019,7,1-3,0.8333333333333334,FluA,minimal_corrected,phase2
2019,7,4-12,0.0,FluA,minimal_corrected,phase2
2019,7,13-17,,FluA,minimal_corrected,phase2
2019,7,18-44,,FluA,minimal_corrected,phase2
2019,7,45-59,,FluA,minimal_corrected,phase2
2019,7,60-74,,FluA,minimal_corrected,phase2
2019,7,75-89,9.090909090909092,FluA,minimal_corrected,phase2
2019,7,>=90,,FluA,minimal_corrected,phase2
2019,8,<1,0.0,FluA,minimal_corrected,phase2
2019,8,1-3,2.8301886792452837,FluA,minimal_corrected,phase2
2019,8,4-12,0.5494505494505495,FluA,minimal_corrected,phase2
2019,8,13-17,,FluA,minimal_corrected,phase2
2019,8,18-44,,FluA,minimal_corrected,phase2
2019,8,45-59,,FluA,minimal_corrected,phase2
2019,8,60-74,0.0,FluA,minimal_corrected,phase2
2019,8,75-89,,FluA,minimal_corrected,phase2
2019,8,>=90,,FluA,minimal_corrected,phase2
2019,9,<1,1.6666666666666667,FluA,minimal_corrected,phase2
2019,9,1-3,1.1494252873563218,FluA,minimal_corrected,phase2
2019,9,4-12,0.0,FluA,minimal_corrected,phase2
2019,9,13-17,,FluA,minimal_corrected,phase2
2019,9,18-44,,FluA,minimal_corrected,phase2
2019,9,45-59,,FluA,minimal_corrected,phase2
2019,9,60-74,,FluA,minimal_corrected,phase2
2019,9,75-89,12.0,FluA,minimal_corrected,phase2
2019,9,>=90,,FluA,minimal_corrected,phase2
2019,10,<1,0.0,FluA,minimal_corrected,phase2
2019,10,1-3,0.0,FluA,minimal_corrected,phase2
2019,10,4-12,0.0,FluA,minimal_corrected,phase2
2019,10,13-17,,FluA,minimal_corrected,phase2
2019,10,18-44,,FluA,minimal_corrected,phase2
2019,10,45-59,,FluA,minimal_corrected,phase2
2019,10,60-74,,FluA,minimal_corrected,phase2
2019,10,75-89,,FluA,minimal_corrected,phase2
2019,10,>=90,,FluA,minimal_corrected,phase2
2019,11,<1,0.0,FluA,minimal_corrected,phase2
2019,11,1-3,1.8691588785046729,FluA,minimal_corrected,phase2
2019,11,4-12,2.409638554216868,FluA,minimal_corrected,phase2
2019,11,13-17,,FluA,minimal_corrected,phase2
2019,11,18-44,,FluA,minimal_corrected,phase2
2019,11,45-59,0.0,FluA,minimal_corrected,phase2
2019,11,60-74,0.0,FluA,minimal_corrected,phase2
2019,11,75-89,0.0,FluA,minimal_corrected,phase2
2019,11,>=90,,FluA,minimal_corrected,phase2
2019,12,<1,2.564102564102564,FluA,minimal_corrected,phase2
2019,12,1-3,9.701492537313433,FluA,minimal_corrected,phase2
2019,12,4-12,6.923076923076923,FluA,minimal_corrected,phase2
2019,12,13-17,,FluA,minimal_corrected,phase2
2019,12,18-44,,FluA,minimal_corrected,phase2
2019,12,45-59,,FluA,minimal_corrected,phase2
2019,12,60-74,0.0,FluA,minimal_corrected,phase2
2019,12,75-89,0.0,FluA,minimal_corrected,phase2
2019,12,>=90,,FluA,minimal_corrected,phase2
2020,1,<1,5.769230769230769,FluA,minimal_corrected,phase2
2020,1,1-3,19.021739130434785,FluA,minimal_corrected,phase2
2020,1,4-12,19.8581560283688,FluA,minimal_corrected,phase2
2020,1,13-17,,FluA,minimal_corrected,phase2
2020,1,18-44,19.047619047619047,FluA,minimal_corrected,phase2
2020,1,45-59,25.925925925925924,FluA,minimal_corrected,phase2
2020,1,60-74,11.842105263157894,FluA,minimal_corrected,phase2
2020,1,75-89,14.814814814814811,FluA,minimal_corrected,phase2
2020,1,>=90,0.0,FluA,minimal_corrected,phase2
2020,2,<1,0.0,FluA,minimal_corrected,phase2
2020,2,1-3,1.4705882352941175,FluA,minimal_corrected,phase2
2020,2,4-12,0.0,FluA,minimal_corrected,phase2
2020,2,13-17,,FluA,minimal_corrected,phase2
2020,2,18-44,1.0869565217391304,FluA,minimal_corrected,phase2
2020,2,45-59,3.076923076923077,FluA,minimal_corrected,phase2
2020,2,60-74,4.624277456647398,FluA,minimal_corrected,phase2
2020,2,75-89,0.6944444444444444,FluA,minimal_corrected,phase2
2020,2,>=90,0.0,FluA,minimal_corrected,phase2
2020,3,<1,0.0,FluA,minimal_corrected,phase2
2020,3,1-3,0.0,FluA,minimal_corrected,phase2
2020,3,4-12,0.0,FluA,minimal_corrected,phase2
2020,3,13-17,,FluA,minimal_corrected,phase2
2020,3,18-44,0.0,FluA,minimal_corrected,phase2
2020,3,45-59,0.0,FluA,minimal_corrected,phase2
2020,3,60-74,0.0,FluA,minimal_corrected,phase2
2020,3,75-89,0.0,FluA,minimal_corrected,phase2
2020,3,>=90,0.0,FluA,minimal_corrected,phase2
2020,4,<1,0.0,FluA,minimal_corrected,phase2
2020,4,1-3,0.0,FluA,minimal_corrected,phase2
2020,4,4-12,0.0,FluA,minimal_corrected,phase2
2020,4,13-17,,FluA,minimal_corrected,phase2
2020,4,18-44,0.0,FluA,minimal_corrected,phase2
2020,4,45-59,0.0,FluA,minimal_corrected,phase2
2020,4,60-74,0.0,FluA,minimal_corrected,phase2
2020,4,75-89,0.0,FluA,minimal_corrected,phase2
2020,4,>=90,0.0,FluA,minimal_corrected,phase2
2020,5,<1,,FluA,minimal_corrected,phase2
2020,5,1-3,0.0,FluA,minimal_corrected,phase2
2020,5,4-12,0.0,FluA,minimal_corrected,phase2
2020,5,13-17,,FluA,minimal_corrected,phase2
2020,5,18-44,,FluA,minimal_corrected,phase2
2020,5,45-59,0.0,FluA,minimal_corrected,phase2
2020,5,60-74,,FluA,minimal_corrected,phase2
2020,5,75-89,0.0,FluA,minimal_corrected,phase2
2020,5,>=90,0.0,FluA,minimal_corrected,phase2
2020,6,<1,0.0,FluA,minimal_corrected,phase2
2020,6,1-3,0.0,FluA,minimal_corrected,phase2
2020,6,4-12,0.0,FluA,minimal_corrected,phase2
2020,6,13-17,,FluA,minimal_corrected,phase2
2020,6,18-44,,FluA,minimal_corrected,phase2
2020,6,45-59,,FluA,minimal_corrected,phase2
2020,6,60-74,0.0,FluA,minimal_corrected,phase2
2020,6,75-89,0.0,FluA,minimal_corrected,phase2
2020,6,>=90,0.0,FluA,minimal_corrected,phase2
2020,7,<1,0.0,FluA,minimal_corrected,phase2
2020,7,1-3,0.0,FluA,minimal_corrected,phase2
2020,7,4-12,,FluA,minimal_corrected,phase2
2020,7,13-17,,FluA,minimal_corrected,phase2
2020,7,18-44,,FluA,minimal_corrected,phase2
2020,7,45-59,,FluA,minimal_corrected,phase2
2020,7,60-74,,FluA,minimal_corrected,phase2
2020,7,75-89,0.0,FluA,minimal_corrected,phase2
2020,7,>=90,0.0,FluA,minimal_corrected,phase2
2020,8,<1,,FluA,minimal_corrected,phase2
2020,8,1-3,0.0,FluA,minimal_corrected,phase2
2020,8,4-12,0.0,FluA,minimal_corrected,phase2
2020,8,13-17,,FluA,minimal_corrected,phase2
2020,8,18-44,,FluA,minimal_corrected,phase2
2020,8,45-59,,FluA,minimal_corrected,phase2
2020,8,60-74,,FluA,minimal_corrected,phase2
2020,8,75-89,0.0,FluA,minimal_corrected,phase2
2020,8,>=90,2.2222222222222223,FluA,minimal_corrected,phase2
2020,9,<1,0.0,FluA,minimal_corrected,phase2
2020,9,1-3,0.0,FluA,minimal_corrected,phase2
2020,9,4-12,0.0,FluA,minimal_corrected,phase2
2020,9,13-17,,FluA,minimal_corrected,phase2
2020,9,18-44,,FluA,minimal_corrected,phase2
2020,9,45-59,,FluA,minimal_corrected,phase2
2020,9,60-74,0.0,FluA,minimal_corrected,phase2
2020,9,75-89,0.0,FluA,minimal_corrected,phase2
2020,9,>=90,0.0,FluA,minimal_corrected,phase2
2020,10,<1,0.0,FluA,minimal_corrected,phase2
2020,10,1-3,0.0,FluA,minimal_corrected,phase2
2020,10,4-12,,FluA,minimal_corrected,phase2
2020,10,13-17,,FluA,minimal_corrected,phase2
2020,10,18-44,,FluA,minimal_corrected,phase2
2020,10,45-59,,FluA,minimal_corrected,phase2
2020,10,60-74,,FluA,minimal_corrected,phase2
2020,10,75-89,0.0,FluA,minimal_corrected,phase2
2020,10,>=90,0.0,FluA,minimal_corrected,phase2
2020,11,<1,0.0,FluA,minimal_corrected,phase2
2020,11,1-3,0.0,FluA,minimal_corrected,phase2
2020,11,4-12,,FluA,minimal_corrected,phase2
2020,11,13-17,,FluA,minimal_corrected,phase2
2020,11,18-44,,FluA,minimal_corrected,phase2
2020,11,45-59,,FluA,minimal_corrected,phase2
2020,11,60-74,,FluA,minimal_corrected,phase2
2020,11,75-89,0.0,FluA,minimal_corrected,phase2
2020,11,>=90,0.0,FluA,minimal_corrected,phase2
2020,12,<1,0.0,FluA,minimal_corrected,phase2
2020,12,1-3,0.0,FluA,minimal_corrected,phase2
2020,12,4-12,,FluA,minimal_corrected,phase2
2020,12,13-17,,FluA,minimal_corrected,phase2
2020,12,18-44,,FluA,minimal_corrected,phase2
2020,12,45-59,,FluA,minimal_corrected,phase2
2020,12,60-74,,FluA,minimal_corrected,phase2
2020,12,75-89,0.0,FluA,minimal_corrected,phase2
2020,12,>=90,0.0,FluA,minimal_corrected,phase2
2021,1,<1,0.0,FluA,minimal_corrected,phase2
2021,1,1-3,0.0,FluA,minimal_corrected,phase2
2021,1,4-12,,FluA,minimal_corrected,phase2
2021,1,13-17,,FluA,minimal_corrected,phase2
2021,1,18-44,,FluA,minimal_corrected,phase2
2021,1,45-59,,FluA,minimal_corrected,phase2
2021,1,60-74,0.0,FluA,minimal_corrected,phase2
2021,1,75-89,0.0,FluA,minimal_corrected,phase2
2021,1,>=90,0.0,FluA,minimal_corrected,phase2
2021,2,<1,,FluA,minimal_corrected,phase2
2021,2,1-3,,FluA,minimal_corrected,phase2
2021,2,4-12,,FluA,minimal_corrected,phase2
2021,2,13-17,,FluA,minimal_corrected,phase2
2021,2,18-44,,FluA,minimal_corrected,phase2
2021,2,45-59,,FluA,minimal_corrected,phase2
2021,2,60-74,,FluA,minimal_corrected,phase2
2021,2,75-89,0.0,FluA,minimal_corrected,phase2
2021,2,>=90,0.0,FluA,minimal_corrected,phase2
2021,3,<1,,FluA,minimal_corrected,phase2
2021,3,1-3,,FluA,minimal_corrected,phase2
2021,3,4-12,,FluA,minimal_corrected,phase2
2021,3,13-17,,FluA,minimal_corrected,phase2
2021,3,18-44,,FluA,minimal_corrected,phase2
2021,3,45-59,,FluA,minimal_corrected,phase2
2021,3,60-74,0.0,FluA,minimal_corrected,phase2
2021,3,75-89,0.0,FluA,minimal_corrected,phase2
2021,3,>=90,0.0,FluA,minimal_corrected,phase2
2021,4,<1,,FluA,minimal_corrected,phase2
2021,4,1-3,,FluA,minimal_corrected,phase2
2021,4,4-12,,FluA,minimal_corrected,phase2
2021,4,13-17,,FluA,minimal_corrected,phase2
2021,4,18-44,,FluA,minimal_corrected,phase2
2021,4,45-59,0.0,FluA,minimal_corrected,phase2
2021,4,60-74,0.0,FluA,minimal_corrected,phase2
2021,4,75-89,0.0,FluA,minimal_corrected,phase2
2021,4,>=90,0.0,FluA,minimal_corrected,phase2
2021,5,<1,0.0,FluA,minimal_corrected,phase2
2021,5,1-3,0.0,FluA,minimal_corrected,phase2
2021,5,4-12,,FluA,minimal_corrected,phase2
2021,5,13-17,,FluA,minimal_corrected,phase2
2021,5,18-44,,FluA,minimal_corrected,phase2
2021,5,45-59,,FluA,minimal_corrected,phase2
2021,5,60-74,,FluA,minimal_corrected,phase2
2021,5,75-89,0.0,FluA,minimal_corrected,phase2
2021,5,>=90,0.0,FluA,minimal_corrected,phase2
2021,6,<1,0.0,FluA,minimal_corrected,phase2
2021,6,1-3,0.0,FluA,minimal_corrected,phase2
2021,6,4-12,0.0,FluA,minimal_corrected,phase2
2021,6,18-44,0.0,FluA,minimal_corrected,phase2
2021,6,45-59,,FluA,minimal_corrected,phase2
2021,6,60-74,0.0,FluA,minimal_corrected,phase2
2021,6,75-89,0.0,FluA,minimal_corrected,phase2
2021,6,>=90,0.0,FluA,minimal_corrected,phase2
2021,7,<1,0.0,FluA,minimal_corrected,phase2
2021,7,1-3,0.0,FluA,minimal_corrected,phase2
2021,7,4-12,0.0,FluA,minimal_corrected,phase2
2021,7,13-17,,FluA,minimal_corrected,phase2
2021,7,18-44,,FluA,minimal_corrected,phase2
2021,7,45-59,,FluA,minimal_corrected,phase2
2021,7,60-74,,FluA,minimal_corrected,phase2
2021,7,75-89,0.0,FluA,minimal_corrected,phase2
2021,7,>=90,0.0,FluA,minimal_corrected,phase2
2021,8,<1,0.0,FluA,minimal_corrected,phase2
2021,8,1-3,0.0,FluA,minimal_corrected,phase2
2021,8,4-12,,FluA,minimal_corrected,phase2
2021,8,13-17,,FluA,minimal_corrected,phase2
2021,8,18-44,,FluA,minimal_corrected,phase2
2021,8,45-59,,FluA,minimal_corrected,phase2
2021,8,60-74,,FluA,minimal_corrected,phase2
2021,8,75-89,0.0,FluA,minimal_corrected,phase2
2021,8,>=90,0.0,FluA,minimal_corrected,phase2
2021,9,<1,0.0,FluA,minimal_corrected,phase2
2021,9,1-3,,FluA,minimal_corrected,phase2
2021,9,4-12,,FluA,minimal_corrected,phase2
2021,9,18-44,,FluA,minimal_corrected,phase2
2021,9,45-59,,FluA,minimal_corrected,phase2
2021,9,60-74,,FluA,minimal_corrected,phase2
2021,9,75-89,0.0,FluA,minimal_corrected,phase2
2021,9,>=90,0.0,FluA,minimal_corrected,phase2
2021,10,<1,,FluA,minimal_corrected,phase2
2021,10,1-3,,FluA,minimal_corrected,phase2
2021,10,4-12,,FluA,minimal_corrected,phase2
2021,10,13-17,,FluA,minimal_corrected,phase2
2021,10,18-44,,FluA,minimal_corrected,phase2
2021,10,45-59,,FluA,minimal_corrected,phase2
2021,10,60-74,,FluA,minimal_corrected,phase2
2021,10,75-89,0.0,FluA,minimal_corrected,phase2
2021,10,>=90,0.0,FluA,minimal_corrected,phase2
2021,11,<1,0.0,FluA,minimal_corrected,phase2
2021,11,1-3,0.0,FluA,minimal_corrected,phase2
2021,11,4-12,0.0,FluA,minimal_corrected,phase2
2021,11,13-17,,FluA,minimal_corrected,phase2
2021,11,18-44,,FluA,minimal_corrected,phase2
2021,11,45-59,,FluA,minimal_corrected,phase2
2021,11,60-74,,FluA,minimal_corrected,phase2
2021,11,75-89,0.0,FluA,minimal_corrected,phase2
2021,11,>=90,0.0,FluA,minimal_corrected,phase2
2021,12,<1,0.0,FluA,minimal_corrected,phase2
2021,12,1-3,0.0,FluA,minimal_corrected,phase2
2021,12,4-12,0.0,FluA,minimal_corrected,phase2
2021,12,13-17,,FluA,minimal_corrected,phase2
2021,12,18-44,,FluA,minimal_corrected,phase2
2021,12,45-59,,FluA,minimal_corrected,phase2
2021,12,60-74,0.0,FluA,minimal_corrected,phase2
2021,12,75-89,0.0,FluA,minimal_corrected,phase2
2021,12,>=90,0.0,FluA,minimal_corrected,phase2
2022,1,<1,0.0,FluA,minimal_corrected,phase2
2022,1,1-3,0.0,FluA,minimal_corrected,phase2
2022,1,4-12,1.639344262295082,FluA,minimal_corrected,phase2
2022,1,13-17,,FluA,minimal_corrected,phase2
2022,1,18-44,,FluA,minimal_corrected,phase2
2022,1,45-59,,FluA,minimal_corrected,phase2
2022,1,60-74,0.0,FluA,minimal_corrected,phase2
2022,1,75-89,0.0,FluA,minimal_corrected,phase2
2022,1,>=90,0.0,FluA,minimal_corrected,phase2
2022,2,<1,0.0,FluA,minimal_corrected,phase2
2022,2,1-3,0.0,FluA,minimal_corrected,phase2
2022,2,4-12,,FluA,minimal_corrected,phase2
