virus_a,virus_b,joint_tested,both_positive,expected_count,observed_expected_ratio,branch
FluA,FluB,64928,2181,302.1701115081321,7.217788645986928,minimal_corrected
FluA,RSV,64832,59,466.28015486179663,0.1265333713751711,minimal_corrected
FluA,ADV,61079,331,361.9547471307651,0.9144789580019462,minimal_corrected
FluA,PIV,28885,12,36.18930240609313,0.3315897019882755,minimal_corrected
FluA,HRV,60737,626,921.7481765645324,0.679144278140238,minimal_corrected
FluA,MP,61078,733,661.9484593470644,1.1073369680821068,minimal_corrected
FluA,HMPV,28583,10,21.39537487317636,0.4673907355807595,minimal_corrected
FluA,HBOV,28586,5,11.89939131043168,0.4201895600841966,minimal_corrected
FluB,FluA,64928,2181,302.1701115081321,7.217788645986928,minimal_corrected
FluB,RSV,64831,23,157.6363930835557,0.1459053937361328,minimal_corrected
FluB,ADV,61078,128,131.5726775598415,0.9728463566592952,minimal_corrected
FluB,PIV,28884,8,11.252285002077274,0.7109667057422672,minimal_corrected
FluB,HRV,60736,217,337.084529768177,0.6437554406582744,minimal_corrected
FluB,MP,61077,340,240.58604712084744,1.413215787319605,minimal_corrected
FluB,HMPV,28582,8,6.847456441116786,1.168317034039466,minimal_corrected
FluB,HBOV,28585,3,3.808326045128564,0.7877476782318737,minimal_corrected
RSV,FluA,64832,59,466.28015486179663,0.1265333713751711,minimal_corrected
RSV,FluB,64831,23,157.6363930835557,0.1459053937361328,minimal_corrected
RSV,ADV,61062,166,210.67839245357175,0.7879308270143661,minimal_corrected
RSV,PIV,28886,29,39.48047497057398,0.7345403017976505,minimal_corrected
RSV,HRV,60736,509,538.4723557692307,0.9452667245524088,minimal_corrected
RSV,MP,61041,150,385.2442129060795,0.3893634089101014,minimal_corrected
RSV,HMPV,28581,5,23.905951506245408,0.2091529382837472,minimal_corrected
RSV,HBOV,28584,27,13.295689896445564,2.0307332835145404,minimal_corrected
ADV,FluA,61079,331,361.9547471307651,0.9144789580019462,minimal_corrected
ADV,FluB,61078,128,131.5726775598415,0.9728463566592952,minimal_corrected
ADV,RSV,61062,166,210.67839245357172,0.7879308270143662,minimal_corrected
ADV,PIV,28888,57,27.711714206590973,2.056891882438766,minimal_corrected
ADV,HRV,65551,914,565.227258165398,1.6170486946553866,minimal_corrected
ADV,MP,65878,825,454.172257809891,1.8164913990526723,minimal_corrected
ADV,HMPV,28581,13,16.79689304083132,0.7739526571014348,minimal_corrected
ADV,HBOV,28584,17,9.351560313462077,1.817878453452049,minimal_corrected
PIV,FluA,28885,12,36.18930240609313,0.3315897019882755,minimal_corrected
PIV,FluB,28884,8,11.252285002077274,0.7109667057422672,minimal_corrected
PIV,RSV,28886,29,39.48047497057398,0.7345403017976505,minimal_corrected
PIV,ADV,28888,57,27.711714206590973,2.056891882438766,minimal_corrected
PIV,HRV,28586,106,83.91044567270691,1.2632515433591367,minimal_corrected
PIV,MP,28880,35,31.58521468144044,1.1081134117022828,minimal_corrected
PIV,HMPV,28582,8,14.35700790707438,0.5572191679338715,minimal_corrected
PIV,HBOV,28585,17,7.984887178590169,2.129021941046581,minimal_corrected
HRV,FluA,60737,626,921.7481765645324,0.679144278140238,minimal_corrected
HRV,FluB,60736,217,337.084529768177,0.6437554406582744,minimal_corrected
HRV,RSV,60736,509,538.4723557692307,0.9452667245524088,minimal_corrected
HRV,ADV,65551,914,565.227258165398,1.6170486946553866,minimal_corrected
HRV,PIV,28586,106,83.91044567270691,1.2632515433591367,minimal_corrected
HRV,MP,65546,1503,1153.4006651817044,1.3031031153109491,minimal_corrected
HRV,HMPV,28582,39,50.719963613463015,0.7689279964240335,minimal_corrected
HRV,HBOV,28585,76,28.20874584572328,2.69419989160994,minimal_corrected
MP,FluA,61078,733,661.9484593470644,1.1073369680821068,minimal_corrected
MP,FluB,61077,340,240.58604712084747,1.4132157873196047,minimal_corrected
MP,RSV,61041,150,385.2442129060795,0.3893634089101014,minimal_corrected
MP,ADV,65878,825,454.172257809891,1.8164913990526723,minimal_corrected
MP,PIV,28880,35,31.585214681440444,1.1081134117022828,minimal_corrected
MP,HRV,65546,1503,1153.4006651817044,1.3031031153109491,minimal_corrected
MP,HMPV,28578,9,19.16859122401848,0.4695180722891566,minimal_corrected
MP,HBOV,28579,14,10.661674656216103,1.3131145388907122,minimal_corrected
HMPV,FluA,28583,10,21.39537487317636,0.4673907355807595,minimal_corrected
HMPV,FluB,28582,8,6.847456441116786,1.168317034039466,minimal_corrected
HMPV,RSV,28581,5,23.905951506245405,0.2091529382837472,minimal_corrected
HMPV,ADV,28581,13,16.79689304083132,0.7739526571014348,minimal_corrected
HMPV,PIV,28582,8,14.35700790707438,0.5572191679338715,minimal_corrected
HMPV,HRV,28582,39,50.719963613463015,0.7689279964240335,minimal_corrected
HMPV,MP,28578,9,19.16859122401848,0.4695180722891566,minimal_corrected
HMPV,HBOV,28584,3,4.825986565910998,0.6216345526510375,minimal_corrected
HBOV,FluA,28586,5,11.89939131043168,0.4201895600841966,minimal_corrected
HBOV,FluB,28585,3,3.808326045128564,0.7877476782318736,minimal_corrected
HBOV,RSV,28584,27,13.295689896445564,2.0307332835145404,minimal_corrected
HBOV,ADV,28584,17,9.351560313462077,1.817878453452049,minimal_corrected
HBOV,PIV,28585,17,7.98488717859017,2.129021941046581,minimal_corrected
HBOV,HRV,28585,76,28.20874584572328,2.6941998916099394,minimal_corrected
HBOV,MP,28579,14,10.661674656216103,1.3131145388907122,minimal_corrected
HBOV,HMPV,28584,3,4.825986565910998,0.6216345526510375,minimal_corrected
