branch,virus,lag,feature,importance,rank
minimal_corrected,ADV,0,ADV_lag1,0.7815083072723724,1.0
minimal_corrected,ADV,0,Week_Num,0.0733762131309993,2.0
minimal_corrected,ADV,0,humi_lag0,0.0262993242729656,3.0
minimal_corrected,ADV,0,windlevel_lag0,0.0197766933585324,4.0
minimal_corrected,ADV,0,PM2.5_lag0,0.0196748710648926,5.0
minimal_corrected,FluA,0,FluA_lag1,0.7900911528890168,1.0
minimal_corrected,FluA,0,Week_Num,0.1011279580275518,2.0
minimal_corrected,FluA,0,NO2_lag0,0.0266893930194138,3.0
minimal_corrected,FluA,0,temp_lag0,0.0154747489088043,4.0
minimal_corrected,FluA,0,SO2_lag0,0.0153775024399147,5.0
minimal_corrected,FluB,0,FluB_lag1,0.8410655814490932,1.0
minimal_corrected,FluB,0,Week_Num,0.1068458716634559,2.0
minimal_corrected,FluB,0,PM10_lag0,0.011047245331704,3.0
minimal_corrected,FluB,0,humi_lag0,0.0073440492814077,4.0
minimal_corrected,FluB,0,temp_lag0,0.0064168938231152,5.0
minimal_corrected,HBOV,3,windlevel_lag3,0.5098490169206602,1.0
minimal_corrected,HBOV,3,NO2_lag3,0.1191071779536567,2.0
minimal_corrected,HBOV,3,temp_lag3,0.0743855321846158,3.0
minimal_corrected,HBOV,3,O3_lag3,0.0728214578522096,4.0
minimal_corrected,HBOV,3,humi_lag3,0.0661096408701304,5.0
minimal_corrected,HMPV,4,HMPV_lag4,0.3313694015809698,1.0
minimal_corrected,HMPV,4,Week_Num,0.272216160913163,2.0
minimal_corrected,HMPV,4,temp_lag4,0.057034585492136,3.0
minimal_corrected,HMPV,4,PM2.5_lag4,0.0566701145268452,4.0
minimal_corrected,HMPV,4,O3_lag4,0.0566300396911655,5.0
minimal_corrected,HRV,3,HRV_lag3,0.5089814239347014,1.0
minimal_corrected,HRV,3,Week_Num,0.1391562143366186,2.0
minimal_corrected,HRV,3,windlevel_lag3,0.0832885206593841,3.0
minimal_corrected,HRV,3,temp_lag3,0.0501226659151391,4.0
minimal_corrected,HRV,3,O3_lag3,0.0479025020235673,5.0
minimal_corrected,MP,1,MP_lag1,0.929477158368182,1.0
minimal_corrected,MP,1,Week_Num,0.0264709337540298,2.0
minimal_corrected,MP,1,SO2_lag1,0.0095065998129655,3.0
minimal_corrected,MP,1,NO2_lag1,0.0088193569954812,4.0
minimal_corrected,MP,1,humi_lag1,0.0066368601299621,5.0
minimal_corrected,PIV,1,PIV_lag1,0.2115817873453803,1.0
minimal_corrected,PIV,1,Week_Num,0.1212859997894223,2.0
minimal_corrected,PIV,1,NO2_lag1,0.1130821217247076,3.0
minimal_corrected,PIV,1,windlevel_lag1,0.1057233085945973,4.0
minimal_corrected,PIV,1,O3_lag1,0.0847486471750488,5.0
minimal_corrected,RSV,2,RSV_lag2,0.806950758637105,1.0
minimal_corrected,RSV,2,Week_Num,0.0594476198279223,2.0
minimal_corrected,RSV,2,temp_lag2,0.0297480556106317,3.0
minimal_corrected,RSV,2,humi_lag2,0.0231220757832768,4.0
minimal_corrected,RSV,2,PM2.5_lag2,0.0202531598032837,5.0
