branch,period,age_group,virus,environment,n_months,rho_display,q_period,fdr05_period,status
minimal_corrected,2019,<1,FluA,windlevel,10,-0.2526318345396,0.7682855501544334,False,computed_exploratory
minimal_corrected,2019,<1,FluA,temp,10,-0.6213377552190162,0.3291151239890487,False,computed_exploratory
minimal_corrected,2019,<1,FluA,humi,10,0.1160740861398162,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,<1,FluA,PM2.5,10,0.6691329671589404,0.2715913710748846,False,computed_exploratory
minimal_corrected,2019,<1,FluA,PM10,10,0.2321481722796324,0.8096258519316172,False,computed_exploratory
minimal_corrected,2019,<1,FluA,NO2,10,0.6349935300589945,0.3114269271621352,False,computed_exploratory
minimal_corrected,2019,<1,FluA,SO2,10,0.3618780332594269,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,<1,FluA,O3,10,-0.0068278874199891,1.0,False,computed_exploratory
minimal_corrected,2019,<1,FluA,CO,10,0.7305839539388431,0.2244849387741673,False,computed_exploratory
minimal_corrected,2019,<1,FluA,AQI,10,0.2458039471196108,0.784272691323446,False,computed_exploratory
minimal_corrected,2019,<1,FluB,windlevel,10,-0.6008540929590486,0.3670504218751866,False,computed_exploratory
minimal_corrected,2019,<1,FluB,temp,10,-0.2116645100196648,0.8280252908267199,False,computed_exploratory
minimal_corrected,2019,<1,FluB,humi,10,0.5940262055390594,0.3670504218751866,False,computed_exploratory
minimal_corrected,2019,<1,FluB,PM2.5,10,0.1024183112998378,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,<1,FluB,PM10,10,-0.3755338080994053,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,<1,FluB,NO2,10,0.2867712716395459,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,<1,FluB,SO2,10,-0.075106761619881,0.9357019484477858,False,computed_exploratory
minimal_corrected,2019,<1,FluB,O3,10,-0.6623050797389513,0.2778271385712868,False,computed_exploratory
minimal_corrected,2019,<1,FluB,CO,10,0.1297298609797945,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,<1,FluB,AQI,10,-0.5257473313391675,0.4687573724119506,False,computed_exploratory
minimal_corrected,2019,<1,RSV,windlevel,10,0.3575757575757575,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,<1,RSV,temp,10,-0.4303030303030302,0.5609799466242664,False,computed_exploratory
minimal_corrected,2019,<1,RSV,humi,10,-0.4909090909090908,0.4693828677430339,False,computed_exploratory
minimal_corrected,2019,<1,RSV,PM2.5,10,0.6363636363636362,0.3114269271621352,False,computed_exploratory
minimal_corrected,2019,<1,RSV,PM10,10,0.5272727272727272,0.4687573724119506,False,computed_exploratory
minimal_corrected,2019,<1,RSV,NO2,10,0.1636363636363636,0.9166032341131534,False,computed_exploratory
minimal_corrected,2019,<1,RSV,SO2,10,0.4424242424242424,0.5323727615785966,False,computed_exploratory
minimal_corrected,2019,<1,RSV,O3,10,0.5636363636363636,0.4013969687869872,False,computed_exploratory
minimal_corrected,2019,<1,RSV,CO,10,0.6969696969696969,0.2370241611101561,False,computed_exploratory
minimal_corrected,2019,<1,RSV,AQI,10,0.7696969696969697,0.19707719493515,False,computed_exploratory
minimal_corrected,2019,<1,ADV,windlevel,10,-0.5151515151515151,0.4693828677430339,False,computed_exploratory
minimal_corrected,2019,<1,ADV,temp,10,0.3696969696969697,0.6550787393344795,False,computed_exploratory
