table,object_name,title,rows,columns,source_file,source_sha256,csv_file,csv_sha256,rda_file,rda_sha256,python_rda_roundtrip,release_scope
S1,cohort_pathogen_summary,Cohort and pathogen-specific summary by diagnostic phase,17,10,Supplementary_Table_S1_cohort_pathogen_summary.csv,d29d1fffd5be3f79daf6b19c5beca252a2f066edfba20c8c7e4e24cd312fabb0,data/Table_S1_cohort_pathogen_summary.csv,4f744b22f2dc9cae86f229080a55ecbc2b3720683530b6705f0e25f22c7a75d0,data/Table_S1_cohort_pathogen_summary.rda,bc19932c0224ba407a7cbdf4ecfb8f5b80c48de5b483f9c50cd81973070c2ecb,PASS,public aggregate only
S2,demographics_summary,Aggregate demographic characteristics by diagnostic phase,2,10,Supplementary_Table_S1_demographics.csv,ac509184d86042e21c41b18f47c88b5b2ee85a64b6044c8444ad62605a109f75,data/Table_S2_demographics_summary.csv,25eabf041aecd514ee123e5bd36e7dd4049595ddc68d7110f3924edc225db9b6,data/Table_S2_demographics_summary.rda,45815479e82d0f924e4c742ff5413ebf511f4f327cbd86a7284d2cc2d13b1e9b,PASS,public aggregate only
S3,panel_history,Observed diagnostic-panel signatures and target-specific denominators,92,12,Supplementary_Table_S1_panel_history.csv,10f647c4ed9dd1eb5181788fbf3fe32a4d686bab0ecc02ce9a9580029e074932,data/Table_S3_panel_history.csv,6100008034a9a538a8c4336e07566e71daf0a98037af683f6d77918c6741fb33,data/Table_S3_panel_history.rda,de73fe0ee342bb64e3cdf98e8393979a8d376406d373caf2e27c7bc0a972e5da,PASS,public aggregate only
S4,complete_year_sensitivity,Complete-calendar-year and boundary sensitivity analysis,14,8,Supplementary_Table_S1_complete_year_sensitivity.csv,dd32c0b269f5baaa15b1076fe838e8f5182ce6ef0ccc2ce0e6828c850d3611d4,data/Table_S4_complete_year_sensitivity.csv,c1c4d4ccca527280c3f7651cc67a647288cd83fdd5ed0b0a72d89e68cf8b8b6b,data/Table_S4_complete_year_sensitivity.rda,17dcb47bdcb56d32778946ef8a16b850b0dd18a3fb883136139590cda2d25d98,PASS,public aggregate only
S5,age_standardized_sensitivity,Age-standardized cross-phase sensitivity analysis,10,10,Supplementary_Table_S1_age_standardized_sensitivity.csv,df15ade0ecdf71a363437211db923e91285d6eb6237d49f55d8e847db01f0e26,data/Table_S5_age_standardized_sensitivity.csv,1d47d6750c1b65db60f95d62eb1c057913f9319613c071d66878c65f83243cc1,data/Table_S5_age_standardized_sensitivity.rda,08bfe758c3b8b6f07317156e441a0a187ef0e6da522677808d91174c2061cf9a,PASS,public aggregate only
S6,age_pathogen_rates,Age-stratified pathogen positivity,153,10,Supplementary_Table_S2_age_pathogen_rates.csv,69cd3069b212025b50fe229b00db3e32f48471db53bc62ce65e690e0da7ef116,data/Table_S6_age_pathogen_rates.csv,979a591da2f953d8d4a0ebd31bd9af2a29b913098c6b3cde0109372fc4abf1a9,data/Table_S6_age_pathogen_rates.rda,2969592c0db399f60d3aea09e685bd1178c98edaaffb4b009ceffea518baa8b6,PASS,public aggregate only
S7,codetection_by_age,Co-detection by age group,9,7,Supplementary_Table_S2_codetection_by_age.csv,8cdc9538835f12743903dbc6d6204f96a94d4c93cddfc72f47f22fc4033b36a3,data/Table_S7_codetection_by_age.csv,df03708f0a4dabe55cf402242ae48fed34ffab59dd4e8d04900d395f6fd54c1a,data/Table_S7_codetection_by_age.rda,e86dda6d519f3c371433a4947bdc030a4f3ed73d3d3941c0259932a919a2137b,PASS,public aggregate only
S8,joint_tested_codetection,Pairwise co-detection among jointly tested events,36,8,Supplementary_Table_S2_joint_tested_codetection.csv,eeac5bf254a3a1f38b30a3652a769b72a129877d6a09458936f1975a3eb7dd24,data/Table_S8_joint_tested_codetection.csv,5c6f070a1d57a0383866b02d6de4ac73fad9e3732d7bc91f14d30967679b78c3,data/Table_S8_joint_tested_codetection.rda,6d9e362cf1494fc3c5333613352311524a28f34337350be0064fe8f913d8a975,PASS,public aggregate only
S9,panel_size_denominators,Co-detection by number of targets tested,9,5,Supplementary_Table_S2_panel_denominators.csv,8052c44f13b5dcff6d1cad68c2055dded3a8a67cd9244d92b7a4569c636d197f,data/Table_S9_panel_size_denominators.csv,cfaf31b6de778d54f57c91eacffa1860100e3ef036a38554418c852dc14b6947,data/Table_S9_panel_size_denominators.rda,f250ce4ee35916584c141587c6125071089066290300e3982a79c9609ff2fb94,PASS,public aggregate only
S10,environment_spearman,Exploratory monthly ecological Spearman correlations,2430,11,Supplementary_Table_S3_environment_spearman.csv,31477fa8869c3b781802cde335f4ea8026e0c0e1a768bf15267b99cde7ecd535,data/Table_S10_environment_spearman.csv,f8ae5bdc60364fc2069c94181f161aa7105efae625d4f7def7e819bde6c44fed,data/Table_S10_environment_spearman.rda,eeafb6d08846b64b9e1ff7427aea4e79eb8bbf54d7179e17f5f75229beeda487,PASS,public aggregate only
S11,rf_lag_metrics,Random-forest performance versus prespecified baselines,45,12,Supplementary_Table_S3_rf_lag_metrics.csv,beadbcff924f1b70314f4c6cf517cbc67ab777f2fe6bbe352907bdf5d7acbaae,data/Table_S11_rf_lag_metrics.csv,ec61eb52ecd54d76f61e88f8813617e130b29fb370f7d2af1ed9a516c57cbb5c,data/Table_S11_rf_lag_metrics.rda,40c88dc0f0913b0a6a38a3802b63ac74f758408061ec75124e3f4aee1775ff47,PASS,public aggregate only
